"filename", "language", "TypeScript", "Vue", "MS SQL", "SCSS", "Markdown", "JSON", "comment", "blank", "total"
"/Users/peaker/dev/kitchen-app/backoffice/src/views/kitchen/preparation/components/RecommendationsList.vue", "Vue", 0, 360, 0, 0, 0, 0, 10, 52, 422
"/Users/peaker/dev/kitchen-app/backoffice/src/views/kitchen/preparation/components/ScheduleSection.vue", "Vue", 0, 100, 0, 0, 0, 0, 4, 18, 122
"/Users/peaker/dev/kitchen-app/backoffice/src/views/kitchen/preparation/components/ScheduleTaskCard.vue", "Vue", 0, 240, 0, 0, 0, 0, 7, 39, 286
"/Users/peaker/dev/kitchen-app/backoffice/src/views/kitchen/preparation/components/StockItemCard.vue", "Vue", 0, 293, 0, 0, 0, 0, 10, 54, 357
"/Users/peaker/dev/kitchen-app/backoffice/src/views/kitchen/preparation/components/StockListTab.vue", "Vue", 0, 258, 0, 0, 0, 0, 10, 42, 310
"/Users/peaker/dev/kitchen-app/backoffice/src/views/kitchen/preparation/components/SyncStatusIndicator.vue", "Vue", 0, 182, 0, 0, 0, 0, 11, 25, 218
"/Users/peaker/dev/kitchen-app/backoffice/src/views/kitchen/preparation/dialogs/PrepWriteOffDialog.vue", "Vue", 0, 450, 0, 0, 0, 0, 12, 59, 521
"/Users/peaker/dev/kitchen-app/backoffice/src/views/kitchen/preparation/dialogs/ProductWriteOffDialog.vue", "Vue", 0, 488, 0, 0, 0, 0, 14, 63, 565
"/Users/peaker/dev/kitchen-app/backoffice/src/views/kitchen/preparation/dialogs/ScheduleConfirmDialog.vue", "Vue", 0, 441, 0, 0, 0, 0, 11, 58, 510
"/Users/peaker/dev/kitchen-app/backoffice/src/views/kitchen/preparation/dialogs/SimpleProductionDialog.vue", "Vue", 0, 482, 0, 0, 0, 0, 14, 60, 556
"/Users/peaker/dev/kitchen-app/backoffice/src/views/kitchen/preparation/dialogs/index.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 2, 2, 8
"/Users/peaker/dev/kitchen-app/backoffice/src/views/menu/MenuView.vue", "Vue", 0, 450, 0, 0, 0, 0, 6, 59, 515
"/Users/peaker/dev/kitchen-app/backoffice/src/views/menu/components/MenuCategoryDialog.vue", "Vue", 0, 38, 0, 0, 0, 0, 1, 3, 42
"/Users/peaker/dev/kitchen-app/backoffice/src/views/menu/components/MenuItem.vue", "Vue", 0, 75, 0, 0, 0, 0, 3, 7, 85
"/Users/peaker/dev/kitchen-app/backoffice/src/views/menu/components/MenuItemDialog.vue", "Vue", 0, 161, 0, 0, 0, 0, 1, 23, 185
"/Users/peaker/dev/kitchen-app/backoffice/src/views/menu/components/MenuItemVariant.vue", "Vue", 0, -19, 0, 0, 0, 0, 1, -2, -20
"/Users/peaker/dev/kitchen-app/backoffice/src/views/menu/components/dialogs/MenuItemViewDialog.vue", "Vue", 0, 1179, 0, 0, 0, 0, 11, 163, 1353
"/Users/peaker/dev/kitchen-app/backoffice/src/views/menu/components/widgets/DishSearchWidget.vue", "Vue", 0, 221, 0, 0, 0, 0, 12, 34, 267
"/Users/peaker/dev/kitchen-app/backoffice/src/views/menu/components/widgets/ProductSearchWidget.vue", "Vue", 0, 273, 0, 0, 0, 0, 13, 41, 327
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/PosMainView.vue", "Vue", 0, 13, 0, 0, 0, 0, 0, 4, 17
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/components/PosNavigationMenu.vue", "Vue", 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/menu/MenuSection.vue", "Vue", 0, 151, 0, 0, 0, 0, 4, 15, 170
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/menu/components/CategoryCard.vue", "Vue", 0, 14, 0, 0, 0, 0, 0, 3, 17
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/menu/dialogs/CustomizationDialog.vue", "Vue", 0, 127, 0, 0, 0, 0, 1, 14, 142
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/order/OrderSection.vue", "Vue", 0, 170, 0, 0, 0, 0, 3, 28, 201
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/order/components/BillItem.vue", "Vue", 0, 84, 0, 0, 0, 0, 0, 8, 92
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/order/components/BillsManager.vue", "Vue", 0, 6, 0, 0, 0, 0, 0, 0, 6
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/order/components/OrderActions.vue", "Vue", 0, 34, 0, 0, 0, 0, 0, 5, 39
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/order/dialogs/BillItemCancelDialog.vue", "Vue", 0, 157, 0, 0, 0, 0, 7, 21, 185
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/order/dialogs/MoveItemsDialog.vue", "Vue", 0, 6, 0, 0, 0, 0, 2, 1, 9
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/shifts/ShiftManagementView.vue", "Vue", 0, 14, 0, 0, 0, 0, 0, 1, 15
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/shifts/dialogs/EndShiftDialog.vue", "Vue", 0, 53, 0, 0, 0, 0, 1, 6, 60
"/Users/peaker/dev/kitchen-app/backoffice/src/views/pos/tables/TablesSidebar.vue", "Vue", 0, 6, 0, 0, 0, 0, 0, 0, 6
"/Users/peaker/dev/kitchen-app/backoffice/src/views/products/ProductsView.vue", "Vue", 0, 39, 0, 0, 0, 0, 1, 8, 48
"/Users/peaker/dev/kitchen-app/backoffice/src/views/products/components/ProductUsageWarningDialog.vue", "Vue", 0, 146, 0, 0, 0, 0, 2, 22, 170
"/Users/peaker/dev/kitchen-app/backoffice/src/views/products/components/UsageTrackingWidget.vue", "Vue", 0, -90, 0, 0, 0, 0, 0, -15, -105
