"filename", "language", "TypeScript", "XML", "Vue", "SCSS", "MS SQL", "Markdown", "JSON", "Python", "comment", "blank", "total"
"/Users/peaker/dev/kitchen-app/backoffice/src/data-migration/mappings/product-to-prep-replacements.json", "JSON", 0, 0, 0, 0, 0, 0, 92, 0, 0, 1, 93
"/Users/peaker/dev/kitchen-app/backoffice/src/data-migration/mappings/recipe-categories.json", "JSON", 0, 0, 0, 0, 0, 0, 16, 0, 0, 1, 17
"/Users/peaker/dev/kitchen-app/backoffice/src/data-migration/mappings/recipe-rules.ts", "TypeScript", 89, 0, 0, 0, 0, 0, 0, 0, 41, 26, 156
"/Users/peaker/dev/kitchen-app/backoffice/src/data-migration/mappings/suppliers.json", "JSON", 0, 0, 0, 0, 0, 0, 28, 0, 0, 1, 29
"/Users/peaker/dev/kitchen-app/backoffice/src/data-migration/scripts/parsePreparations.ts", "TypeScript", 243, 0, 0, 0, 0, 0, 0, 0, 60, 64, 367
"/Users/peaker/dev/kitchen-app/backoffice/src/data-migration/scripts/parseProducts.ts", "TypeScript", 230, 0, 0, 0, 0, 0, 0, 0, 56, 46, 332
"/Users/peaker/dev/kitchen-app/backoffice/src/data-migration/scripts/parseRecipes.ts", "TypeScript", 303, 0, 0, 0, 0, 0, 0, 0, 49, 46, 398
"/Users/peaker/dev/kitchen-app/backoffice/src/data-migration/sql/import_preparations.sql", "MS SQL", 0, 0, 0, 0, 459, 0, 0, 0, 5, 10, 474
"/Users/peaker/dev/kitchen-app/backoffice/src/data-migration/sql/import_products.sql", "MS SQL", 0, 0, 0, 0, 5179, 0, 0, 0, 5, 6, 5190
"/Users/peaker/dev/kitchen-app/backoffice/src/data-migration/sql/import_recipes.sql", "MS SQL", 0, 0, 0, 0, 3683, 0, 0, 0, 401, 432, 4516
"/Users/peaker/dev/kitchen-app/backoffice/src/data-migration/sql/import_winter_menu_preparations.sql", "MS SQL", 0, 0, 0, 0, 948, 0, 0, 0, 79, 94, 1121
